PS C:\Users\emazoq\Documents\0dev\goSQL> .\roc-valores.exe --sqlite .\roc-valores.db push
2026/04/13 16:20:36 main.go:22: roc-collector  version=a256539-dirty commit=a256539 built=2026-04-13T21:15:01Z
2026/04/13 16:20:36 db.go:60: [db] abriendo SQLite → .\roc-valores.db
2026/04/13 16:20:36 db.go:76: [db] ✓ SQLite abierto y migrado
2026/04/13 16:20:36 config.go:48: [config] DSN construido → oracle://USRWEBEPM:****@SGIODB-scan:1526/giodb
2026/04/13 16:20:36 db.go:33: [db] conectando → SGIODB-scan:1526/giodb (go-ora, sin CGO)
2026/04/13 16:20:40 db.go:53: [db] ✓ conexión establecida con Oracle
2026/04/13 16:20:42 push.go:132: [push] remap: 108 señales (0 nuevas en Oracle)
2026/04/13 16:24:20 valorRepository.go:89: [repo] UpsertBatch → 840 valores procesados
2026/04/13 16:24:21 push.go:181: [push]  sqliteID=2 → oracleID=2   840 valores
2026/04/13 16:28:34 valorRepository.go:89: [repo] UpsertBatch → 840 valores procesados
2026/04/13 16:28:35 push.go:181: [push]  sqliteID=36 → oracleID=36   840 valores
2026/04/13 16:32:53 valorRepository.go:89: [repo] UpsertBatch → 840 valores procesados
2026/04/13 16:32:54 push.go:181: [push]  sqliteID=85 → oracleID=85   840 valores
2026/04/13 16:33:30 valorRepository.go:89: [repo] UpsertBatch → 840 valores procesados
2026/04/13 16:33:30 push.go:181: [push]  sqliteID=88 → oracleID=88   840 valores
2026/04/13 16:33:33 valorRepository.go:89: [repo] UpsertBatch → 840 valores procesados
2026/04/13 16:33:33 push.go:181: [push]  sqliteID=108 → oracleID=108   840 valores
2026/04/13 16:33:36 valorRepository.go:89: [repo] UpsertBatch → 840 valores procesados
2026/04/13 16:33:36 push.go:181: [push]  sqliteID=16 → oracleID=16   840 valores
2026/04/13 16:33:38 valorRepository.go:89: [repo] UpsertBatch → 840 valores procesados
2026/04/13 16:33:38 push.go:181: [push]  sqliteID=19 → oracleID=19   840 valores
2026/04/13 16:33:41 valorRepository.go:89: [repo] UpsertBatch → 840 valores procesados
2026/04/13 16:33:41 push.go:181: [push]  sqliteID=20 → oracleID=20   840 valores
